# Data for pyomo

set c := c1 c2 c3 c4;

set h := h1 h2 h3 h4;

set j := j1 j2;

set m := 
m1 
m2 
m3 
m4 
m5 
m6
;

set p := p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 p21 p22 p23 p24 p25 p26 p27 p28 p29 p30 p31 p32 p33 p34 p35 p36 p37 p38 p39 p40 p41 p42 p43 p44 p45 p46 p47 p48 p49 p50;


param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 2
;

param TT3 :=
j1 1
j2 2
;


param U1 :=
c1 m1 j1 1040
c1 m2 j1 2600
c1 m3 j1 2600
c1 m4 j1 2900
c1 m5 j1 3500
c1 m6 j1 3500
c2 m1 j1 2600
c2 m2 j1 200
c2 m3 j1 2600
c2 m4 j1 2900
c2 m5 j1 3500
c2 m6 j1 3500
c3 m1 j1 1840
c3 m2 j1 2000
c3 m3 j1 2900
c3 m4 j1 2900
c3 m5 j1 3500
c3 m6 j1 3500
c4 m1 j1 1640
c4 m2 j1 1820
c4 m3 j1 2900
c4 m4 j1 2900
c4 m5 j1 3500
c4 m6 j1 3500
c1 m1 j2 520
c1 m2 j2 520
c1 m3 j2 520
c1 m4 j2 936
c1 m5 j2 1053
c1 m6 j2 1053
c2 m1 j2 520
c2 m2 j2 100
c2 m3 j2 520
c2 m4 j2 936
c2 m5 j2 1053
c2 m6 j2 1053
c3 m1 j2 520
c3 m2 j2 520
c3 m3 j2 936
c3 m4 j2 936
c3 m5 j2 1053
c3 m6 j2 1053
c4 m1 j2 520
c4 m2 j2 520
c4 m3 j2 936
c4 m4 j2 936
c4 m5 j2 1053
c4 m6 j2 1053
;

param U3 :=
m1 h1 j1 1910
m1 h2 j1 1910
m1 h3 j1 2910
m1 h4 j1 1910
m2 h1 j1 2910
m2 h2 j1 400
m2 h3 j1 1910
m2 h4 j1 1910
m3 h1 j1 2910
m3 h2 j1 2910
m3 h3 j1 2910
m3 h4 j1 2910
m4 h1 j1 2910
m4 h2 j1 2910
m4 h3 j1 2910
m4 h4 j1 2910
m5 h1 j1 2910
m5 h2 j1 2910
m5 h3 j1 2910
m5 h4 j1 2910
m6 h1 j1 2910
m6 h2 j1 2910
m6 h3 j1 2910
m6 h4 j1 2910
m1 h1 j2 910
m1 h2 j2 910
m1 h3 j2 910
m1 h4 j2 910
m2 h1 j2 910
m2 h2 j2 300
m2 h3 j2 910
m2 h4 j2 910
m3 h1 j2 1755
m3 h2 j2 1755
m3 h3 j2 1755
m3 h4 j2 1755
m4 h1 j2 1755
m4 h2 j2 1755
m4 h3 j2 1755
m4 h4 j2 1755
m5 h1 j2 1855
m5 h2 j2 1855
m5 h3 j2 1855
m5 h4 j2 1755
m6 h1 j2 1855
m6 h2 j2 1855
m6 h3 j2 1855
m6 h4 j2 1855
;

param INC := 
p1	c3	43	1
p2	c2	48	1
p3	c2	63	1
p4	c2	40	1
p5	c3	15	1
p6	c3	60	1
p7	c3	23	1
p8	c4	16	1
p9	c1	3	1
p10	c3	5	1
p11	c1	31	1
p12	c1	60	1
p13	c4	65	1
p14	c1	57	1
p15	c1	45	1
p16	c2	63	1
p17	c1	43	1
p18	c1	76	1
p19	c2	21	1
p20	c3	11	1
p21	c2	5	1
p22	c3	74	1
p23	c3	46	1
p24	c2	44	1
p25	c1	11	1
p26	c1	17	1
p27	c1	5	1
p28	c2	6	1
p29	c1	73	1
p30	c1	90	1
p31	c3	76	1
p32	c1	61	1
p33	c1	63	1
p34	c4	84	1
p35	c4	37	1
p36	c4	67	1
p37	c2	19	1
p38	c2	6	1
p39	c4	55	1
p40	c3	61	1
p41	c1	25	1
p42	c1	52	1
p43	c4	16	1
p44	c2	13	1
p45	c2	86	1
p46	c4	69	1
p47	c2	82	1
p48	c4	42	1
p49	c2	83	1
p50	c3	13	1
;

param FMAX := 1 ;
param FMIN := 0 ;
param TAD := 0 ;
param TLS := 1 ;
